"UF","COD. UF","COD. MUNIC","NOME DO MUNICÍPIO","POPULAÇÃO ESTIMADA"
"MG",31,"42304","Moeda",4957
"MA",21,"11631","São Raimundo do Doca Bezerra",4946
"SP",35,"26308","Lagoinha",4943
"SC",42,"00903","Angelina",4943
"MG",31,"62252","São João da Lagoa",4942
"RS",43,"11908","Marcelino Ramos",4941
"MG",31,"43153","Monte Formoso",4936
"PB",25,"04207","Catingueira",4934
"RO",11,"01559","Teixeirópolis",4931
"PI",22,"09807","São Gonçalo do Piauí",4931
"SP",35,"20608","Indiana",4931
"PB",25,"01534","Baraúna",4925
"MG",31,"02506","Amparo do Serra",4924
"MG",31,"63904","São Pedro da União",4911
